"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"China","CHN","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","21125000000","20707000000","23905000000","25108000000","25756000000","34734000000","41054000000","43220000000","51519000000","58919000000","69568000000","75659000000","102561000000","128109690000","151077000000","82983000000","78985000000","83794000000","111331687000","118463000000","145460205585.428","388297641441.493","525615268320.748","694870272887.864","897660405046.06","1131606052785.08","1349973680605.82","1127160048461.54","1486412027200.06","1807805443488.65","1973516412824.49","2148588935109.43","2243761278997.21","2142753416452.3","1989518638921.98","2216457864392.12",
"Cote d'Ivoire","CIV","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7588994812.93269","8362018939.80022","8548026199.41001","10251437607.6032","11167959586.0326","11410214346.2142","12635074117.9926","12123453267.6251","12049331220.9822","12967509526.9832","11730529062.746","10875534354.5749","",
"Cameroon","CMR","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","809061598.774614","1095827955.64726","1354117024.61603","1657472249.56356","1410583855.50348","1357886517.17695","1366692254.79423","1588944749.8138","1626330369.16738","2076949866.0505","1688646452.68034","1841206243.14548","1853807568.48436","2125357466.70602","1957449402.18471","1934060664.32105","1507720408.37399","1454166375.60406","1735916523.09712","2002277654.03118","2036426881.89631","1878073849.02365","1737861797.15699","1974194998.45504","1875085669.7747","1962156594.49234","2483436373.94754","2708184439.15165","3265224683.95297","3848644223.73138","4956047625.86764","5841619694.08818","4064249720.02454","4313262895.21335","5652912807.97847","5757114153.79959","6079795425.39135","6562301526.68203","5215163073.13299","4589408194.89853","",
"Congo, Dem. Rep.","COD","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2402800000","2704700000","6147900000","6869800000","4371000000","8477900000","9471927079.52868","8743370359.07694","11612971601.2341","12321200000","10284773559.9695","9979907436.9326","",
"Congo, Rep.","COG","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","308190533.708704","495671234.422893","910608693.88127","1072702468.79505","1108505991.61809","1066172163.33009","1268375203.75278","1144746045.603","672645189.149499","876688672.734696","843194567.338673","1160471375.17824","1388721629.56062","1107736075.3748","1178729371.72693","1119145052.85109","958925607.376637","1286599269.22613","1654850900.71613","1661504005.40947","1367794851.69241","1560086656.15735","2491785279.52809","2055276749.40565","2288806312.2641","2636612478.42708","3433185978.57482","4745310278.87925","6065710446.04492","5705630140.35039","8096546333.42719","5756014211.37159","8530821774.42065","10917327704.1014","9972147692.02311","8923203922.46149","8866829319.37453","4676689373.05565","","",
"Colombia","COL","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","604999999.995758","671999999.995789","787999999.995823","754166459.993897","978567700","1262548989.99976","1494502639.98371","1683186550","2201906799.99976","2660000000","3155392000.00049","3441000000","3986297059.99976","3157725680","3113768169.99969","2970000000","4273000000","3650000000","5331000000","5661000000","5343000000","6031000000","7079000000","7507000000","7263200000","7428500000","9050197139.30274","10592634723.8552","10972379029.6344","12084264961.2819","11479103737.2764","12026896970.1229","13744694741.4695","12860428585.5171","12367040811.6406","13798246746.7421","17194908680.9007","21708662781.1619","25166243997.519","30555767082.0422","38476021834.9556","33977347462.3049","40761915542.2437","58262191478.3393","61603864423.4594","60282300133.7158","56898749075.4359","38572113082.3551","34079190247.0136","39474328899.0971",
"Comoros","COM","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","11189061.9417867","16417082.9718313","19582873.0507224","19469231.4909636","7046525.05056844","15688049.7833795","20366559.4343774","11599352.5465123","21480921.5314439","18049840.0907247","17934898.6525083","24356221.0296816","21428877.0884531","21581424.337523","10785333.1326305","11315399.3242327","","","","","","","","30011439.0630269","20804423.8411363","14385695.6046725","13313179.3237042","16494354.0217615","9813943.04235763","18874587.2405124","22575899.7976544","25793565.3065123","19507187.0286232","","","","","",
"Cabo Verde","CPV","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","1242418.76123904","3073174.51048423","4124702.80245037","9115140.25150307","6259412.3929984","3973010.06410639","3300512.65363101","6926418.8270816","6121246.29406181","4003996.92640103","20875217.0563139","15092517.4315746","20659138.1980193","18095757.1372814","12707620.4924729","10760305.8522857","7242628.92006418","12173645.808953","14484342.4705066","18936338.8630948","40176474.7969806","21089709.0501864","14738691.2473153","30611338.5942811","28272786.1542655","31905444.306536","41396788.3997169","42887873.1479706","77161967.3102613","85794542.0784261","69639337.5396299","102832037.337696","79732824.1591466","122722538.537583","196644687.873418","172082869.80344","184125055.260224","253558633.700781","149315777.836205","149026568.534608","181119782.982968",
"Costa Rica","CRI","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","827800000","863900000","942100000","1000900000","1002600000","869000000","852500000","997500000","939100000","1084800000","1106700000","1180700000","1333400000","1354200000","1498100000","1739100000","1866800000","2122000000","2569400000","2749610000","2902100000","3157610000","2626640447.4058","4179869135.036","4195020730.5886","4268892784.7902","4607352359.10552","5120469210.34135","5568947320.24932","6310766158.55492","6874209426.65225","7513776854.05464","6622878483.6075","7492546076.85638","8301379072.71927","8922635327.84351","8866326405.50414","9455567010.7669","9452400028.07706","10242823932.916","10916014630.8144",
"Caribbean small states","CSS","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","2828600486.86975","3101656623.49214","3350749091.90491","3941749241.64325","5642732788.35446","5518414042.54462","4741069212.01588","4439935843.84934","4687302313.84644","4486282972.22001","3549497130.88949","3604585899.64817","3996867704.04706","4125778239.48047","4970005540.63804","4650371455.92865","4494639565.94402","4221596324.52243","5025814061.83723","6217589124.46715","6165836715.67602","6309042254.78999","6027372426.21156","6573222164.2202","8364533312.57254","8125409541.43895","7574138111.80622","9104803536.88482","10985266467.8086","14975079801.9595","19921435852.4825","19686847329.3792","26283114732.8598","14641481581.8107","17623440095.1345","25215283317.5685","25095320742.07","25882252188.1608","22357808025.3466","17569037617.13","14069892117.6299","17274926132.7079",
